,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
34,14122.010960818645,-40289.46642,-56940.86783,-6785.363768,-38011.42132,-61030.74533,-75181.50064,19758.763284535802,45788.77786264156,-63394.21879,-98339.40546,-62632.6278,11518.300952708836,-24244.93721,24170.59530861322,-26636.86444,R,,,,,,,,,,,,,,
36,12305.730558124847,-40042.61375,-56863.12847,-6569.222399,-38076.75547,-60993.7979,-75204.56764,18610.91179977796,48644.54849297387,-63909.04652,-98796.83391,-63289.43381,10822.938182704233,-24894.12128,23339.89272593173,-27505.45323,R,,,,,,,,,,,,,,
38,11521.340789954756,-39783.31116,-56505.14293,-6163.292368,-37667.65149,-60700.07362,-74837.95432,17230.713931407205,45213.71218129542,-63492.34295,-98442.84933,-62749.28156,11470.825847485763,-24292.61348,24277.41429536513,-26590.39516,R,,,,,,,,,,,,,,
40,14469.804104543222,-40453.26,-57251.51238,-7033.401076,-38368.80337,-61298.29571,-75544.26945,20448.806339360042,47856.023652079544,-63819.23721,-98748.93412,-63100.58392,11025.444987469315,-24738.73195,23605.81142971652,-27286.67435,R,,,,,,,,,,,,,,
42,10486.32091120731,-39601.36796,-56437.23833,-5961.679633,-37725.74368,-60668.28944,-74844.77161,16606.00502562583,46968.05590010356,-63854.41886,-98783.06523,-63183.53125,11036.084417830041,-24714.9944,23789.05103076113,-27142.17033,R,,,,,,,,,,,,,,
44,14039.68948598975,-40270.31097,-57019.76949,-6722.421255,-38142.15668,-61117.11247,-75322.67425,19676.88884459601,45787.86144111889,-63566.52839,-98549.13188,-62753.059,11491.277693662369,-24340.78149,24321.55899066436,-26661.76428,R,,,,,,,,,,,,,,
46,12293.012415529778,-40048.89459,-56972.09322,-6549.441105,-38228.32265,-61104.0814,-75383.04632,18591.421078612933,48625.728324142496,-64095.05774,-99021.82657,-63425.48888,10769.338699500406,-25007.80225,23435.178212544706,-27567.1664,R,,,,,,,,,,,,,,
48,11523.33009521128,-39759.93124,-56574.18747,-6093.733739,-37794.74351,-60775.3543,-74968.98025,17239.252297789135,45192.81330022971,-63696.23556,-98683.57762,-62906.88371,11380.480096397412,-24429.78614,24311.992444037493,-26685.30067,R,,,,,,,,,,,,,,
50,14519.782605145288,-40443.38053,-57335.13025,-6983.266113,-38501.95271,-61382.7406,-75685.2866,20500.01418590715,47929.82911227097,-63979.54392,-98945.78593,-63211.13565,11016.101958286996,-24821.85809,23764.195890926825,-27293.87162,R,,,,,,,,,,,,,,
52,10405.586410234739,-39634.5603,-56592.22532,-6007.076026,-37896.60041,-60807.31729,-75067.6632,16547.04112375273,46991.68169399282,-64074.00239,-99032.73422,-63357.33841,10923.856308919943,-24877.64804,23793.99076628575,-27258.3994,R,,,,,,,,,,,,,,
54,14024.57970673796,-40265.05831,-57118.16187,-6695.800328,-38277.65295,-61205.49127,-75473.99556,19679.50399869728,45717.11816991785,-63784.86023,-98799.8961,-62925.18978,11377.104982984662,-24505.44679,24307.097412001778,-26778.44039,R,,,,,,,,,,,,,,
56,12334.810177661202,-40053.23083,-57079.00161,-6535.851244,-38370.70326,-61199.25513,-75537.60863,18648.12745429605,48663.614530994244,-64286.47808,-99245.94751,-63568.67416,10709.659541804736,-25138.91758,23500.579416820936,-27635.83096,R,,,,,,,,,,,,,,
58,11466.310795105792,-39753.80686,-56672.44574,-6072.387823,-37927.98226,-60862.59316,-75117.17231,17194.437050156244,45198.624753788084,-63886.3148,-98905.0387,-63050.62777,11330.278078350793,-24556.65464,24382.601604771808,-26757.11683,R,,,,,,,,,,,,,,
60,14453.755552024311,-40466.62634,-57468.54782,-7017.866614,-38654.88334,-61501.13779,-75871.25312,20423.079481491983,47824.73120984212,-64183.6824,-99180.16633,-63369.45306,10937.647335248868,-24965.37864,23782.256100446713,-27399.23774,R,,,,,,,,,,,,,,
